Class ID	Parents
HP_0007576	HP_0100871|HP_0001067|HP_0045010
HP_0004486	
HP_0025549	HP_0025404
HP_0030075	HP_0100013
HP_0011772	HP_0000820
HP_0009366	
HP_0008543	
HP_0025380	HP_0030348
HP_0006437	HP_0002823
HP_0012775	HP_0008034
HP_0001412	HP_0006562
HP_0025344	HP_0011040
HP_0008404	HP_0001597
HP_0009161	HP_0009376|HP_0004219
HP_0010633	HP_0000458
HP_0003202	HP_0040290|HP_0030236
HP_0007989	HP_0001147
HP_0000218	HP_0000174
HP_0004699	HP_0001832
HP_0100158	HP_0100056|HP_0100093
HP_0008776	HP_0011004|HP_0012210
HP_0011400	HP_0002011|HP_0012447
HP_0000661	HP_0000581
HP_0010985	HP_0000005
HP_0025604	HP_0100012
HP_0030130	HP_0012146
HP_0003743	HP_0000005
HP_0007800	HP_0001090
HP_0011977	HP_0040156
HP_0003483	
HP_0010832	HP_0003474
HP_0030671	HP_0030669
HP_0006229	
HP_0011744	HP_0003118
HP_0025136	HP_0025135
HP_0031474	HP_0100526
HP_0009275	HP_0009274|HP_0009697
HP_0008130	
HP_0004073	
HP_0001953	HP_0000819|HP_0001993
HP_0010405	HP_0010357|HP_0010195|HP_0010348
HP_0001089	HP_0000525
HP_0012362	HP_0012358
HP_0007836	HP_0001131
HP_0002956	
HP_0003111	HP_0001939
HP_0004923	HP_0010893
HP_0000866	HP_0009798
HP_0006024	
HP_0001617	
HP_0010220	HP_0010010
HP_0100734	HP_0003468|HP_0005930
HP_0002404	HP_0011932
HP_0007409	
HP_0009330	HP_0010266|HP_0009419|HP_0009334
HP_0005273	HP_3000034|HP_0009935
HP_0031458	HP_3000033
HP_0030731	HP_0031492
HP_0400003	HP_0008772
HP_0011071	HP_0011070
HP_0006545	
HP_0004278	HP_0001155|HP_0100238
HP_0003330	HP_0011842
HP_0008335	HP_0003355
HP_0010741	HP_0000969|HP_0002814
HP_0031607	HP_0001438
HP_0001149	HP_0001131
HP_0040210	HP_0004364
HP_0011331	HP_0000324
HP_0006805	
HP_0100266	HP_0100240
HP_0002748	HP_0004349
HP_0005794	
HP_0009674	HP_0009663|HP_0010267|HP_0009696
HP_0001409	HP_0006707|HP_0000822
HP_0002488	HP_0001909
HP_0002543	
HP_0007745	
HP_0100939	HP_0010356|HP_0100948|HP_0100926
HP_0012271	HP_0002781
HP_0006600	HP_0000919|HP_0100593
HP_0004510	HP_0006476
HP_0010777	HP_0025426
HP_0100679	HP_0010647
HP_0001349	HP_0010628
HP_0040246	HP_0010990
HP_0005029	
HP_0012531	HP_0025142
HP_0003948	HP_0003946|HP_0003842
HP_0001792	HP_0008386
HP_0008075	HP_0001761
HP_0009887	HP_0001595
HP_0002116	
HP_0100321	HP_0001317
HP_0003688	HP_0003800
HP_0000974	HP_0008067
HP_0030463	HP_0007928
HP_0011536	HP_0011535
HP_0008931	
HP_0410059	HP_0011013
HP_0020048	HP_0005561
HP_0006841	
HP_0009734	HP_0009733
HP_0003042	HP_0030310|HP_0009811
HP_0011276	HP_0002597|HP_0011354
HP_0005381	HP_0005430
HP_0012490	HP_0009124|HP_0012649
HP_0009261	HP_0009248|HP_0009393|HP_0010268
