Class ID	Parents
DOID_0070126	DOID_0050328
DOID_13580	DOID_4138
DOID_9066	
DOID_3379	DOID_3347
DOID_10290	DOID_10283|DOID_0060058
DOID_9275	DOID_9252
DOID_10199	DOID_0060082
DOID_7764	DOID_11472
DOID_7555	
DOID_9249	DOID_225
DOID_8006	DOID_3565|DOID_3165|DOID_4159
DOID_9857	DOID_65|DOID_9858
DOID_11027	
DOID_12839	
DOID_0090139	DOID_28
DOID_9395	DOID_1579
DOID_0110362	DOID_10584
DOID_6342	
DOID_4160	DOID_769
DOID_11399	
DOID_13189	DOID_848
DOID_12221	
DOID_9369	DOID_1397
DOID_11246	DOID_11247
DOID_10423	DOID_824
DOID_7800	
DOID_14292	DOID_2059
DOID_5444	DOID_5876
DOID_12762	
DOID_5832	
DOID_5438	DOID_5381
DOID_10459	DOID_974
DOID_345	DOID_229
DOID_11623	DOID_5330
DOID_3588	
DOID_1894	DOID_9423
DOID_12380	
DOID_12798	DOID_3211
DOID_7437	DOID_9460|DOID_2643
DOID_1748	DOID_5467|DOID_1749
DOID_9118	
DOID_10629	DOID_5614
DOID_7089	DOID_3969
DOID_7816	
DOID_14080	DOID_446
DOID_2216	DOID_2214
DOID_11829	DOID_9799|DOID_11830
DOID_3758	
DOID_13001	DOID_3407
DOID_13750	
DOID_9780	
DOID_9083	
DOID_7607	DOID_7608
DOID_10460	DOID_9561
DOID_2242	
DOID_5578	
DOID_11211	DOID_11212
DOID_2033	DOID_0060038
DOID_0110017	DOID_10871
DOID_5757	DOID_2568
DOID_1706	
DOID_1285	DOID_5295
DOID_7181	DOID_3165
DOID_3158	DOID_37
DOID_1673	DOID_1532
DOID_7360	DOID_5344
DOID_0060813	DOID_0060309
DOID_0060830	DOID_0060309
DOID_0050831	DOID_1289
DOID_0050814	DOID_0050737
DOID_5032	DOID_170
DOID_1318	
DOID_0060250	DOID_0060249
DOID_1826	DOID_936
DOID_0110504	DOID_0050565
DOID_0060360	DOID_869
DOID_0050251	DOID_883
DOID_0060233	DOID_225
DOID_0060216	DOID_5614
DOID_0111058	DOID_2214
DOID_0050361	
DOID_0060343	DOID_11476
DOID_701	DOID_214
DOID_0060326	DOID_0080016
DOID_0050234	
DOID_0050217	
DOID_3278	DOID_3275
DOID_1791	DOID_3119
DOID_0060436	DOID_0060429
DOID_7480	DOID_4556
DOID_0060470	DOID_0050737
DOID_0060453	DOID_0060441
DOID_57	DOID_62
DOID_7334	DOID_3116
DOID_1647	DOID_0050671
DOID_1338	DOID_589
DOID_13558	
DOID_8876	
DOID_14077	
